Sl.No,Transaction ID,Product,Price/Unit,Quantity,Total Spent,Payment Method,Purchase_Mode,Transaction Date,Discount Applied,Transaction_Month_Name,Transaction Day,Transaction Quarter,Revenue,Avg_Spend/Unit,Top sales,Bulk Order,Product Price Band
7245,TXN_2024907,Milk Products,27.5,4.0,110.0,Cash,Online,2025-01-10,True,January,Friday,1,Medium,27.5,0,0,Medium
7246,TXN_2427553,Computers and electric accessories,38.0,3.0,114.0,Cash,Online,2023-03-09,False,March,Thursday,1,Medium,38.0,0,0,High
7247,TXN_9202573,Beverages,6.5,3.0,19.5,Cash,Online,2023-07-07,Unknown,July,Friday,3,Low,6.5,0,0,Low
7248,TXN_1990804,Food,33.5,9.0,301.5,Cash,In-store,2022-06-08,False,June,Wednesday,2,High,33.5,1,0,High
7249,TXN_1999095,Furniture,39.5,1.0,39.5,Credit Card,Online,2024-01-12,Unknown,January,Friday,1,Low,39.5,0,0,High
7250,TXN_8076264,Furniture,6.5,6.0,39.0,Digital Wallet,In-store,2024-12-01,Unknown,December,Sunday,4,Low,6.5,0,0,Low
7251,TXN_6952271,Furniture,11.0,6.0,66.0,Credit Card,Online,2022-06-12,Unknown,June,Sunday,2,Low,11.0,0,0,Low
7252,TXN_6330492,Beverages,33.5,8.0,268.0,Cash,In-store,2023-05-26,False,May,Friday,2,High,33.5,1,0,High
7253,TXN_5680991,Patisserie,29.0,8.0,232.0,Digital Wallet,In-store,2023-08-24,True,August,Thursday,3,High,29.0,1,0,Medium
7254,TXN_5706555,Furniture,21.5,1.0,21.5,Cash,Online,2024-05-06,True,May,Monday,2,Low,21.5,0,0,Medium
7255,TXN_1960835,Electric household essentials,15.5,2.0,31.0,Cash,Online,2022-03-22,Unknown,March,Tuesday,1,Low,15.5,0,0,Low
7256,TXN_4227145,Computers and electric accessories,24.5,7.0,171.5,Cash,In-store,2024-06-25,True,June,Tuesday,2,High,24.5,0,0,Medium
7257,TXN_1749831,Beverages,32.0,8.0,256.0,Digital Wallet,In-store,2023-09-06,True,September,Wednesday,3,High,32.0,1,0,High
7258,TXN_5091925,Furniture,38.0,10.0,380.0,Cash,In-store,2024-06-18,True,June,Tuesday,2,High,38.0,1,0,High
7259,TXN_9021131,Computers and electric accessories,21.5,7.0,150.5,Digital Wallet,In-store,2022-09-21,Unknown,September,Wednesday,3,Medium,21.5,0,0,Medium
7260,TXN_3774966,Beverages,20.0,8.0,160.0,Cash,Online,2023-02-18,True,February,Saturday,1,Medium,20.0,0,0,Medium
7261,TXN_6587902,Milk Products,36.5,8.0,292.0,Digital Wallet,Online,2024-05-14,Unknown,May,Tuesday,2,High,36.5,1,0,High
7262,TXN_8874924,Milk Products,12.5,9.0,112.5,Credit Card,In-store,2024-04-25,True,April,Thursday,2,Medium,12.5,0,0,Low
7263,TXN_6794062,Beverages,33.5,7.0,234.5,Credit Card,In-store,2024-10-11,Unknown,October,Friday,4,High,33.5,1,0,High
7264,TXN_3324893,Butchers,12.5,9.0,112.5,Cash,Online,2023-03-11,True,March,Saturday,1,Medium,12.5,0,0,Low
7265,TXN_2800453,Computers and electric accessories,26.0,4.0,104.0,Digital Wallet,In-store,2022-06-26,True,June,Sunday,2,Medium,26.0,0,0,Medium
7266,TXN_8593519,Beverages,41.0,9.0,369.0,Cash,Online,2024-03-18,Unknown,March,Monday,1,High,41.0,1,0,High
7267,TXN_3869190,Electric household essentials,9.5,7.0,66.5,Credit Card,In-store,2024-07-21,True,July,Sunday,3,Low,9.5,0,0,Low
7268,TXN_9199451,Electric household essentials,33.5,7.0,234.5,Cash,In-store,2022-11-08,Unknown,November,Tuesday,4,High,33.5,1,0,High
7269,TXN_1733096,Furniture,20.0,8.0,160.0,Cash,Online,2023-06-11,False,June,Sunday,2,Medium,20.0,0,0,Medium
7270,TXN_8343511,Computers and electric accessories,14.0,10.0,140.0,Digital Wallet,In-store,2023-12-25,False,December,Monday,4,Medium,14.0,0,0,Low
7271,TXN_7026208,Beverages,17.0,8.0,136.0,Cash,In-store,2024-08-02,Unknown,August,Friday,3,Medium,17.0,0,0,Low
7272,TXN_6724745,Electric household essentials,33.5,9.0,301.5,Cash,Online,2022-07-25,False,July,Monday,3,High,33.5,1,0,High
7273,TXN_9620521,Beverages,23.0,2.0,46.0,Cash,Online,2022-07-19,False,July,Tuesday,3,Low,23.0,0,0,Medium
7274,TXN_4195260,Furniture,35.0,6.0,210.0,Cash,Online,2023-10-05,True,October,Thursday,4,High,35.0,1,0,High
7275,TXN_4333003,Furniture,33.5,7.0,234.5,Credit Card,In-store,2024-01-25,Unknown,January,Thursday,1,High,33.5,1,0,High
7276,TXN_3452469,Computers and electric accessories,38.0,7.0,266.0,Digital Wallet,In-store,2023-04-08,True,April,Saturday,2,High,38.0,1,0,High
7277,TXN_6559568,Beverages,30.5,2.0,61.0,Cash,In-store,2024-01-12,Unknown,January,Friday,1,Low,30.5,0,0,High
7278,TXN_8904495,Butchers,12.5,9.0,112.5,Digital Wallet,Online,2023-09-26,Unknown,September,Tuesday,3,Medium,12.5,0,0,Low
7279,TXN_8713017,Computers and electric accessories,23.0,7.0,161.0,Credit Card,Online,2024-12-02,True,December,Monday,4,High,23.0,0,0,Medium
7280,TXN_2486841,Food,8.0,4.0,32.0,Cash,In-store,2024-02-15,Unknown,February,Thursday,1,Low,8.0,0,0,Low
7281,TXN_3683979,Computers and electric accessories,21.5,10.0,215.0,Cash,In-store,2024-01-01,Unknown,January,Monday,1,High,21.5,1,0,Medium
7282,TXN_2375733,Milk Products,8.0,9.0,72.0,Cash,In-store,2023-12-01,Unknown,December,Friday,4,Medium,8.0,0,0,Low
7283,TXN_4477147,Furniture,6.5,1.0,6.5,Cash,In-store,2022-04-28,True,April,Thursday,2,Low,6.5,0,0,Low
7284,TXN_1102901,Patisserie,24.5,10.0,245.0,Cash,Online,2022-03-17,True,March,Thursday,1,High,24.5,1,0,Medium
7285,TXN_4631871,Electric household essentials,27.5,5.0,137.5,Digital Wallet,In-store,2024-10-24,False,October,Thursday,4,Medium,27.5,0,0,Medium
7286,TXN_9212145,Furniture,20.0,6.0,120.0,Digital Wallet,Online,2024-03-16,Unknown,March,Saturday,1,Medium,20.0,0,0,Medium
7287,TXN_1981490,Beverages,41.0,4.0,164.0,Digital Wallet,In-store,2022-12-12,False,December,Monday,4,High,41.0,0,0,High
7288,TXN_1265621,Electric household essentials,36.5,8.0,292.0,Digital Wallet,Online,2022-01-11,True,January,Tuesday,1,High,36.5,1,0,High
7289,TXN_4481593,Butchers,38.0,8.0,304.0,Cash,Online,2022-11-23,True,November,Wednesday,4,High,38.0,1,0,High
7290,TXN_1192429,Beverages,14.0,3.0,42.0,Cash,In-store,2024-06-20,False,June,Thursday,2,Low,14.0,0,0,Low
7291,TXN_3503862,Patisserie,23.0,9.0,207.0,Cash,Online,2022-03-08,True,March,Tuesday,1,High,23.0,1,0,Medium
7292,TXN_8424740,Furniture,18.5,7.0,129.5,Credit Card,In-store,2023-10-04,Unknown,October,Wednesday,4,Medium,18.5,0,0,Low
7293,TXN_6376057,Electric household essentials,12.5,7.0,87.5,Digital Wallet,In-store,2023-10-11,True,October,Wednesday,4,Medium,12.5,0,0,Low
7294,TXN_3290440,Butchers,35.0,8.0,280.0,Credit Card,In-store,2024-09-27,True,September,Friday,3,High,35.0,1,0,High
7295,TXN_7551403,Beverages,12.5,4.0,50.0,Cash,In-store,2023-12-13,Unknown,December,Wednesday,4,Low,12.5,0,0,Low
7296,TXN_1865240,Computers and electric accessories,29.0,2.0,58.0,Credit Card,In-store,2022-08-21,Unknown,August,Sunday,3,Low,29.0,0,0,Medium
7297,TXN_5613380,Beverages,36.5,10.0,365.0,Credit Card,In-store,2024-04-03,True,April,Wednesday,2,High,36.5,1,0,High
7298,TXN_2634971,Furniture,20.0,2.0,40.0,Credit Card,Online,2022-11-29,False,November,Tuesday,4,Low,20.0,0,0,Medium
7299,TXN_3978048,Electric household essentials,23.0,2.0,46.0,Credit Card,Online,2024-04-26,True,April,Friday,2,Low,23.0,0,0,Medium
7300,TXN_8834253,Patisserie,27.5,7.0,192.5,Digital Wallet,In-store,2024-02-06,False,February,Tuesday,1,High,27.5,1,0,Medium
7301,TXN_2542225,Electric household essentials,23.0,2.0,46.0,Digital Wallet,In-store,2023-03-24,Unknown,March,Friday,1,Low,23.0,0,0,Medium
7302,TXN_3721973,Beverages,8.0,9.0,72.0,Credit Card,In-store,2024-08-31,Unknown,August,Saturday,3,Medium,8.0,0,0,Low
7303,TXN_4672858,Milk Products,5.0,2.0,10.0,Credit Card,In-store,2024-09-05,Unknown,September,Thursday,3,Low,5.0,0,0,Low
7304,TXN_1210437,Food,9.5,7.0,66.5,Cash,In-store,2023-05-26,Unknown,May,Friday,2,Low,9.5,0,0,Low
7305,TXN_1822926,Beverages,9.5,1.0,9.5,Credit Card,Online,2022-03-25,True,March,Friday,1,Low,9.5,0,0,Low
7306,TXN_5152448,Butchers,5.0,4.0,20.0,Credit Card,In-store,2023-11-13,True,November,Monday,4,Low,5.0,0,0,Low
7307,TXN_8785041,Beverages,32.0,5.0,160.0,Digital Wallet,In-store,2022-03-05,False,March,Saturday,1,Medium,32.0,0,0,High
7308,TXN_5563568,Patisserie,5.0,7.0,35.0,Cash,Online,2023-01-30,False,January,Monday,1,Low,5.0,0,0,Low
7309,TXN_5110591,Beverages,8.0,3.0,24.0,Credit Card,In-store,2023-02-22,True,February,Wednesday,1,Low,8.0,0,0,Low
7310,TXN_8753170,Butchers,26.0,4.0,104.0,Cash,Online,2022-10-24,True,October,Monday,4,Medium,26.0,0,0,Medium
7311,TXN_7437993,Furniture,39.5,1.0,39.5,Digital Wallet,In-store,2022-07-12,False,July,Tuesday,3,Low,39.5,0,0,High
7312,TXN_6010260,Beverages,36.5,1.0,36.5,Digital Wallet,In-store,2023-07-21,True,July,Friday,3,Low,36.5,0,0,High
7313,TXN_9444336,Food,18.5,10.0,185.0,Cash,Online,2024-10-29,False,October,Tuesday,4,High,18.5,0,0,Low
7314,TXN_2184078,Butchers,21.5,3.0,64.5,Credit Card,Online,2023-11-10,False,November,Friday,4,Low,21.5,0,0,Medium
7315,TXN_9276926,Butchers,36.5,1.0,36.5,Credit Card,In-store,2022-10-25,True,October,Tuesday,4,Low,36.5,0,0,High
7316,TXN_1134786,Electric household essentials,29.0,1.0,29.0,Cash,In-store,2023-09-21,Unknown,September,Thursday,3,Low,29.0,0,0,Medium
7317,TXN_6677830,Electric household essentials,27.5,2.0,55.0,Cash,Online,2022-12-22,False,December,Thursday,4,Low,27.5,0,0,Medium
7318,TXN_9540418,Electric household essentials,8.0,5.0,40.0,Cash,In-store,2024-04-13,True,April,Saturday,2,Low,8.0,0,0,Low
7319,TXN_1166621,Beverages,36.5,6.0,219.0,Digital Wallet,Online,2022-04-30,False,April,Saturday,2,High,36.5,1,0,High
7320,TXN_7628356,Food,41.0,4.0,164.0,Credit Card,Online,2024-03-29,False,March,Friday,1,High,41.0,0,0,High
7321,TXN_7705072,Butchers,23.0,1.0,23.0,Digital Wallet,Online,2022-12-08,Unknown,December,Thursday,4,Low,23.0,0,0,Medium
7322,TXN_4243232,Patisserie,15.5,4.0,62.0,Cash,Online,2022-10-06,False,October,Thursday,4,Low,15.5,0,0,Low
7323,TXN_4488427,Butchers,33.5,7.0,234.5,Credit Card,In-store,2022-05-31,Unknown,May,Tuesday,2,High,33.5,1,0,High
7324,TXN_5227674,Beverages,21.5,10.0,215.0,Credit Card,In-store,2022-07-27,False,July,Wednesday,3,High,21.5,1,0,Medium
7325,TXN_5105777,Butchers,36.5,5.0,182.5,Credit Card,Online,2022-04-05,False,April,Tuesday,2,High,36.5,0,0,High
7326,TXN_3001024,Milk Products,8.0,3.0,24.0,Digital Wallet,In-store,2022-07-04,True,July,Monday,3,Low,8.0,0,0,Low
7327,TXN_9387439,Patisserie,24.5,10.0,245.0,Digital Wallet,In-store,2024-10-27,True,October,Sunday,4,High,24.5,1,0,Medium
7328,TXN_4521020,Butchers,32.0,4.0,128.0,Credit Card,In-store,2022-06-19,Unknown,June,Sunday,2,Medium,32.0,0,0,High
7329,TXN_5575598,Food,36.5,10.0,365.0,Digital Wallet,In-store,2022-02-11,False,February,Friday,1,High,36.5,1,0,High
7330,TXN_4031068,Electric household essentials,36.5,9.0,328.5,Digital Wallet,Online,2022-01-31,False,January,Monday,1,High,36.5,1,0,High
7331,TXN_1483524,Electric household essentials,20.0,4.0,80.0,Cash,Online,2023-03-11,True,March,Saturday,1,Medium,20.0,0,0,Medium
7332,TXN_3759268,Butchers,21.5,1.0,21.5,Digital Wallet,Online,2023-09-05,Unknown,September,Tuesday,3,Low,21.5,0,0,Medium
7333,TXN_7921654,Food,9.5,10.0,95.0,Cash,Online,2023-01-22,True,January,Sunday,1,Medium,9.5,0,0,Low
7334,TXN_6053571,Computers and electric accessories,41.0,8.0,328.0,Cash,Online,2023-03-01,Unknown,March,Wednesday,1,High,41.0,1,0,High
7335,TXN_8300398,Furniture,38.0,3.0,114.0,Digital Wallet,Online,2023-08-07,Unknown,August,Monday,3,Medium,38.0,0,0,High
7336,TXN_9067549,Patisserie,18.5,3.0,55.5,Credit Card,Online,2022-08-18,False,August,Thursday,3,Low,18.5,0,0,Low
7337,TXN_9207641,Milk Products,23.0,7.0,161.0,Cash,Online,2024-12-20,False,December,Friday,4,High,23.0,0,0,Medium
7338,TXN_8215831,Butchers,12.5,6.0,75.0,Cash,In-store,2023-07-13,False,July,Thursday,3,Medium,12.5,0,0,Low
7339,TXN_2128361,Furniture,30.5,1.0,30.5,Cash,In-store,2023-07-18,Unknown,July,Tuesday,3,Low,30.5,0,0,High
7340,TXN_5171758,Electric household essentials,35.0,10.0,350.0,Digital Wallet,Online,2022-02-07,True,February,Monday,1,High,35.0,1,0,High
7341,TXN_9723010,Milk Products,26.0,9.0,234.0,Credit Card,Online,2022-01-14,Unknown,January,Friday,1,High,26.0,1,0,Medium
7342,TXN_3317458,Milk Products,14.0,9.0,126.0,Cash,Online,2022-10-23,True,October,Sunday,4,Medium,14.0,0,0,Low
7343,TXN_6940568,Patisserie,41.0,5.0,205.0,Cash,Online,2022-08-13,Unknown,August,Saturday,3,High,41.0,1,0,High
7344,TXN_1535908,Milk Products,33.5,10.0,335.0,Credit Card,In-store,2022-01-04,False,January,Tuesday,1,High,33.5,1,0,High
7345,TXN_3442172,Computers and electric accessories,30.5,8.0,244.0,Digital Wallet,In-store,2024-10-11,Unknown,October,Friday,4,High,30.5,1,0,High
7346,TXN_6978346,Milk Products,27.5,8.0,220.0,Credit Card,In-store,2023-04-28,Unknown,April,Friday,2,High,27.5,1,0,Medium
7347,TXN_4142429,Furniture,20.0,1.0,20.0,Digital Wallet,Online,2022-12-14,True,December,Wednesday,4,Low,20.0,0,0,Medium
7348,TXN_5387401,Food,39.5,4.0,158.0,Digital Wallet,Online,2024-12-30,Unknown,December,Monday,4,Medium,39.5,0,0,High
7349,TXN_9451154,Butchers,15.5,8.0,124.0,Cash,Online,2023-06-26,True,June,Monday,2,Medium,15.5,0,0,Low
7350,TXN_3061840,Electric household essentials,24.5,5.0,122.5,Credit Card,Online,2024-09-12,True,September,Thursday,3,Medium,24.5,0,0,Medium
7351,TXN_9799570,Food,6.5,1.0,6.5,Credit Card,Online,2022-02-05,Unknown,February,Saturday,1,Low,6.5,0,0,Low
7352,TXN_4373165,Furniture,17.0,8.0,136.0,Credit Card,Online,2024-05-03,True,May,Friday,2,Medium,17.0,0,0,Low
7353,TXN_3614311,Patisserie,9.5,10.0,95.0,Digital Wallet,Online,2023-01-29,False,January,Sunday,1,Medium,9.5,0,0,Low
7354,TXN_8489843,Food,30.5,7.0,213.5,Cash,In-store,2022-03-20,False,March,Sunday,1,High,30.5,1,0,High
7355,TXN_4324613,Electric household essentials,36.5,7.0,255.5,Credit Card,Online,2022-03-01,Unknown,March,Tuesday,1,High,36.5,1,0,High
7356,TXN_3234418,Beverages,29.0,2.0,58.0,Digital Wallet,In-store,2024-09-11,Unknown,September,Wednesday,3,Low,29.0,0,0,Medium
7357,TXN_5603167,Milk Products,26.0,8.0,208.0,Digital Wallet,Online,2023-05-09,Unknown,May,Tuesday,2,High,26.0,1,0,Medium
7358,TXN_1915866,Patisserie,38.0,5.0,190.0,Credit Card,Online,2024-08-15,True,August,Thursday,3,High,38.0,0,0,High
7359,TXN_5995528,Computers and electric accessories,11.0,9.0,99.0,Digital Wallet,In-store,2023-01-14,True,January,Saturday,1,Medium,11.0,0,0,Low
7360,TXN_8334587,Butchers,36.5,10.0,365.0,Digital Wallet,In-store,2023-03-25,Unknown,March,Saturday,1,High,36.5,1,0,High
7361,TXN_3719328,Milk Products,23.0,3.0,69.0,Credit Card,In-store,2022-05-15,True,May,Sunday,2,Low,23.0,0,0,Medium
7362,TXN_2854112,Milk Products,23.0,7.0,161.0,Credit Card,Online,2024-01-23,True,January,Tuesday,1,High,23.0,0,0,Medium
7363,TXN_3971163,Butchers,23.0,9.0,207.0,Digital Wallet,Online,2022-07-29,True,July,Friday,3,High,23.0,1,0,Medium
7364,TXN_7877933,Butchers,23.0,2.0,46.0,Credit Card,In-store,2023-04-26,Unknown,April,Wednesday,2,Low,23.0,0,0,Medium
7365,TXN_8162077,Milk Products,20.0,5.0,100.0,Cash,In-store,2023-04-30,True,April,Sunday,2,Medium,20.0,0,0,Medium
7366,TXN_9448652,Computers and electric accessories,29.0,7.0,203.0,Digital Wallet,In-store,2024-02-01,True,February,Thursday,1,High,29.0,1,0,Medium
7367,TXN_4283333,Food,30.5,4.0,122.0,Credit Card,Online,2024-09-06,False,September,Friday,3,Medium,30.5,0,0,High
7368,TXN_6730526,Patisserie,41.0,6.0,246.0,Cash,In-store,2022-01-07,Unknown,January,Friday,1,High,41.0,1,0,High
7369,TXN_9392209,Patisserie,27.5,8.0,220.0,Digital Wallet,Online,2023-02-28,False,February,Tuesday,1,High,27.5,1,0,Medium
7370,TXN_7061932,Furniture,41.0,2.0,82.0,Digital Wallet,In-store,2023-07-07,True,July,Friday,3,Medium,41.0,0,0,High
7371,TXN_3545055,Milk Products,14.0,4.0,56.0,Credit Card,In-store,2024-09-12,False,September,Thursday,3,Low,14.0,0,0,Low
7372,TXN_1471432,Furniture,33.5,10.0,335.0,Cash,Online,2022-03-01,Unknown,March,Tuesday,1,High,33.5,1,0,High
7373,TXN_9285109,Computers and electric accessories,23.0,2.0,46.0,Cash,In-store,2023-12-26,Unknown,December,Tuesday,4,Low,23.0,0,0,Medium
7374,TXN_4144158,Patisserie,21.5,8.0,172.0,Cash,In-store,2023-10-19,Unknown,October,Thursday,4,High,21.5,0,0,Medium
7375,TXN_2573398,Butchers,36.5,4.0,146.0,Credit Card,In-store,2024-04-15,True,April,Monday,2,Medium,36.5,0,0,High
7376,TXN_7220136,Butchers,38.0,6.0,228.0,Cash,In-store,2022-11-19,False,November,Saturday,4,High,38.0,1,0,High
7377,TXN_4082896,Milk Products,33.5,8.0,268.0,Credit Card,In-store,2024-02-05,Unknown,February,Monday,1,High,33.5,1,0,High
7378,TXN_3865377,Patisserie,26.0,4.0,104.0,Digital Wallet,Online,2023-12-13,Unknown,December,Wednesday,4,Medium,26.0,0,0,Medium
7379,TXN_6126205,Computers and electric accessories,8.0,9.0,72.0,Digital Wallet,In-store,2022-04-23,False,April,Saturday,2,Medium,8.0,0,0,Low
7380,TXN_3303315,Furniture,38.0,10.0,380.0,Credit Card,Online,2023-11-26,Unknown,November,Sunday,4,High,38.0,1,0,High
7381,TXN_5341574,Computers and electric accessories,23.0,6.0,138.0,Cash,In-store,2023-10-23,False,October,Monday,4,Medium,23.0,0,0,Medium
7382,TXN_9255550,Milk Products,33.5,1.0,33.5,Digital Wallet,Online,2024-09-04,True,September,Wednesday,3,Low,33.5,0,0,High
7383,TXN_9682013,Computers and electric accessories,21.5,6.0,129.0,Cash,Online,2023-03-02,True,March,Thursday,1,Medium,21.5,0,0,Medium
7384,TXN_5416951,Furniture,15.5,1.0,15.5,Credit Card,In-store,2024-05-27,False,May,Monday,2,Low,15.5,0,0,Low
7385,TXN_1726888,Patisserie,38.0,8.0,304.0,Digital Wallet,Online,2022-06-21,False,June,Tuesday,2,High,38.0,1,0,High
7386,TXN_1949980,Beverages,29.0,3.0,87.0,Credit Card,Online,2024-03-03,False,March,Sunday,1,Medium,29.0,0,0,Medium
7387,TXN_4755286,Food,24.5,1.0,24.5,Cash,Online,2022-05-27,Unknown,May,Friday,2,Low,24.5,0,0,Medium
7388,TXN_4379335,Beverages,9.5,6.0,57.0,Digital Wallet,Online,2024-01-19,Unknown,January,Friday,1,Low,9.5,0,0,Low
7389,TXN_1611531,Electric household essentials,29.0,3.0,87.0,Credit Card,In-store,2024-06-29,Unknown,June,Saturday,2,Medium,29.0,0,0,Medium
7390,TXN_3513596,Computers and electric accessories,20.0,1.0,20.0,Credit Card,Online,2022-06-12,False,June,Sunday,2,Low,20.0,0,0,Medium
7391,TXN_1933506,Food,12.5,2.0,25.0,Digital Wallet,In-store,2024-12-17,False,December,Tuesday,4,Low,12.5,0,0,Low
7392,TXN_8441291,Food,15.5,9.0,139.5,Digital Wallet,Online,2024-03-02,True,March,Saturday,1,Medium,15.5,0,0,Low
7393,TXN_2885167,Electric household essentials,14.0,8.0,112.0,Credit Card,Online,2022-03-15,Unknown,March,Tuesday,1,Medium,14.0,0,0,Low
7394,TXN_9602143,Butchers,21.5,3.0,64.5,Credit Card,In-store,2022-08-01,False,August,Monday,3,Low,21.5,0,0,Medium
7395,TXN_1021697,Patisserie,38.0,6.0,228.0,Cash,Online,2022-08-18,True,August,Thursday,3,High,38.0,1,0,High
7396,TXN_3962481,Electric household essentials,21.5,3.0,64.5,Credit Card,In-store,2024-02-02,False,February,Friday,1,Low,21.5,0,0,Medium
7397,TXN_4865783,Beverages,35.0,9.0,315.0,Cash,In-store,2023-11-30,True,November,Thursday,4,High,35.0,1,0,High
7398,TXN_1309344,Food,39.5,4.0,158.0,Cash,In-store,2024-01-30,Unknown,January,Tuesday,1,Medium,39.5,0,0,High
7399,TXN_4132386,Butchers,26.0,2.0,52.0,Digital Wallet,In-store,2022-07-25,True,July,Monday,3,Low,26.0,0,0,Medium
7400,TXN_3411885,Food,33.5,3.0,100.5,Digital Wallet,In-store,2024-03-21,Unknown,March,Thursday,1,Medium,33.5,0,0,High
7401,TXN_2744981,Milk Products,26.0,6.0,156.0,Cash,In-store,2022-01-05,True,January,Wednesday,1,Medium,26.0,0,0,Medium
7402,TXN_1537039,Computers and electric accessories,26.0,5.0,130.0,Digital Wallet,Online,2022-06-06,Unknown,June,Monday,2,Medium,26.0,0,0,Medium
7403,TXN_2689920,Food,11.0,2.0,22.0,Cash,In-store,2024-02-29,True,February,Thursday,1,Low,11.0,0,0,Low
7404,TXN_2314713,Patisserie,21.5,9.0,193.5,Cash,Online,2024-08-14,Unknown,August,Wednesday,3,High,21.5,1,0,Medium
7405,TXN_3967043,Beverages,24.5,9.0,220.5,Digital Wallet,In-store,2024-12-26,Unknown,December,Thursday,4,High,24.5,1,0,Medium
7406,TXN_6471785,Food,41.0,1.0,41.0,Digital Wallet,Online,2024-01-30,True,January,Tuesday,1,Low,41.0,0,0,High
7407,TXN_1849169,Milk Products,17.0,3.0,51.0,Credit Card,In-store,2023-03-15,Unknown,March,Wednesday,1,Low,17.0,0,0,Low
7408,TXN_5969171,Food,21.5,3.0,64.5,Digital Wallet,Online,2022-03-24,False,March,Thursday,1,Low,21.5,0,0,Medium
7409,TXN_7248220,Beverages,6.5,1.0,6.5,Cash,In-store,2024-09-05,True,September,Thursday,3,Low,6.5,0,0,Low
7410,TXN_3648115,Food,35.0,8.0,280.0,Credit Card,Online,2023-06-28,Unknown,June,Wednesday,2,High,35.0,1,0,High
7411,TXN_5026777,Milk Products,15.5,7.0,108.5,Cash,Online,2022-12-23,Unknown,December,Friday,4,Medium,15.5,0,0,Low
7412,TXN_4070576,Computers and electric accessories,17.0,6.0,102.0,Credit Card,In-store,2022-03-19,True,March,Saturday,1,Medium,17.0,0,0,Low
7413,TXN_5889960,Patisserie,29.0,9.0,261.0,Digital Wallet,In-store,2023-07-10,True,July,Monday,3,High,29.0,1,0,Medium
7414,TXN_2614296,Beverages,39.5,6.0,237.0,Cash,In-store,2024-03-11,True,March,Monday,1,High,39.5,1,0,High
7415,TXN_1319314,Butchers,36.5,6.0,219.0,Credit Card,Online,2025-01-13,Unknown,January,Monday,1,High,36.5,1,0,High
7416,TXN_4051562,Computers and electric accessories,26.0,1.0,26.0,Cash,In-store,2023-09-06,True,September,Wednesday,3,Low,26.0,0,0,Medium
7417,TXN_2024171,Butchers,23.0,7.0,161.0,Digital Wallet,Online,2025-01-12,True,January,Sunday,1,High,23.0,0,0,Medium
7418,TXN_7109230,Butchers,23.0,2.0,46.0,Digital Wallet,Online,2023-06-26,True,June,Monday,2,Low,23.0,0,0,Medium
7419,TXN_1880096,Butchers,38.0,5.0,190.0,Credit Card,In-store,2022-03-20,False,March,Sunday,1,High,38.0,0,0,High
7420,TXN_4467507,Beverages,23.0,2.0,46.0,Credit Card,Online,2023-07-24,True,July,Monday,3,Low,23.0,0,0,Medium
7421,TXN_2128705,Beverages,15.5,1.0,15.5,Digital Wallet,In-store,2024-05-14,False,May,Tuesday,2,Low,15.5,0,0,Low
7422,TXN_2624035,Computers and electric accessories,11.0,3.0,33.0,Credit Card,Online,2022-08-23,Unknown,August,Tuesday,3,Low,11.0,0,0,Low
7423,TXN_8144943,Computers and electric accessories,29.0,4.0,116.0,Cash,Online,2022-09-29,False,September,Thursday,3,Medium,29.0,0,0,Medium
7424,TXN_8416020,Patisserie,29.0,6.0,174.0,Digital Wallet,In-store,2024-03-05,False,March,Tuesday,1,High,29.0,0,0,Medium
7425,TXN_4832854,Furniture,8.0,6.0,48.0,Cash,In-store,2022-05-14,Unknown,May,Saturday,2,Low,8.0,0,0,Low
7426,TXN_1505983,Food,17.0,2.0,34.0,Cash,Online,2022-04-06,Unknown,April,Wednesday,2,Low,17.0,0,0,Low
7427,TXN_7347397,Milk Products,27.5,3.0,82.5,Cash,In-store,2023-12-28,True,December,Thursday,4,Medium,27.5,0,0,Medium
7428,TXN_5735723,Electric household essentials,5.0,8.0,40.0,Digital Wallet,Online,2022-11-26,True,November,Saturday,4,Low,5.0,0,0,Low
7429,TXN_4989570,Food,23.0,7.0,161.0,Digital Wallet,Online,2023-08-23,True,August,Wednesday,3,High,23.0,0,0,Medium
7430,TXN_6886810,Computers and electric accessories,27.5,2.0,55.0,Digital Wallet,Online,2023-09-13,True,September,Wednesday,3,Low,27.5,0,0,Medium
7431,TXN_6555696,Computers and electric accessories,11.0,9.0,99.0,Credit Card,In-store,2022-05-27,False,May,Friday,2,Medium,11.0,0,0,Low
7432,TXN_4704657,Food,20.0,6.0,120.0,Digital Wallet,Online,2023-04-23,False,April,Sunday,2,Medium,20.0,0,0,Medium
7433,TXN_8010278,Food,35.0,5.0,175.0,Cash,Online,2023-09-27,Unknown,September,Wednesday,3,High,35.0,0,0,High
7434,TXN_7459969,Electric household essentials,32.0,5.0,160.0,Digital Wallet,Online,2024-04-27,Unknown,April,Saturday,2,Medium,32.0,0,0,High
7435,TXN_3922622,Furniture,39.5,4.0,158.0,Digital Wallet,Online,2022-03-03,True,March,Thursday,1,Medium,39.5,0,0,High
7436,TXN_3270223,Computers and electric accessories,6.5,10.0,65.0,Cash,In-store,2022-09-14,True,September,Wednesday,3,Low,6.5,0,0,Low
7437,TXN_4315111,Milk Products,18.5,10.0,185.0,Digital Wallet,Online,2023-05-26,False,May,Friday,2,High,18.5,0,0,Low
7438,TXN_3568126,Electric household essentials,27.5,6.0,165.0,Digital Wallet,In-store,2022-10-18,False,October,Tuesday,4,High,27.5,0,0,Medium
